class,param,name,vr70s,vr80s.1,vr80s.2,mean,var
2,g,g2,0.5,0,0.5,0.333333333,0.083333333
3,g,g3,0.5,0.18,0.177,0.285666667,0.034456333
4,g,g4,0.47,0.067,0,0.179,0.064633
5,g,g5,0.23,0.26,0,0.163333333,0.020233333
6,g,g6,0.063,0.032,0,0.031666667,0.000992333
7,g,g7,NA,NA,NA,NA,NA
2,s,s2,0.63,1,0.65,0.76,0.0433
3,s,s3,0.91,1,0.98,0.963333333,0.002233333
4,s,s4,0.98,0.59,0.81,0.793333333,0.038233333
5,s,s5,0.98,0.92,1,0.966666667,0.001733333
6,s,s6,0.99,1,0.68,0.89,0.0331
7,s,s7,0.78,1,0.8,0.86,0.0148
